PD [[1, 5, 2, 4], [3, 9, 4, 8], [5, 12, 6, 13], [7, 3, 8, 2], [14, 10, 15, 9], [18, 11, 19, 12], [13, 6, 14, 7], [22, 15, 23, 16], [20, 18, 21, 17], [10, 19, 11, 20], [24, 21, 1, 22], [16, 23, 17, 24]]
PD [[1, 5, 2, 4], [3, 9, 4, 8], [12, 6, 13, 5], [7, 3, 8, 2], [14, 10, 15, 9], [20, 12, 21, 11], [6, 14, 7, 13], [22, 16, 23, 15], [24, 18, 1, 17], [10, 20, 11, 19], [18, 22, 19, 21], [16, 24, 17, 23]]
PD [[1, 5, 2, 4], [3, 9, 4, 8], [12, 6, 13, 5], [7, 3, 8, 2], [9, 14, 10, 15], [11, 20, 12, 21], [6, 14, 7, 13], [15, 22, 16, 23], [17, 24, 18, 1], [19, 10, 20, 11], [21, 18, 22, 19], [23, 16, 24, 17]]
PD [[1, 5, 2, 4], [3, 9, 4, 8], [5, 12, 6, 13], [7, 3, 8, 2], [14, 10, 15, 9], [20, 12, 21, 11], [13, 6, 14, 7], [22, 16, 23, 15], [24, 18, 1, 17], [10, 20, 11, 19], [18, 22, 19, 21], [16, 24, 17, 23]]
PD [[1, 5, 2, 4], [3, 9, 4, 8], [12, 6, 13, 5], [7, 3, 8, 2], [14, 10, 15, 9], [20, 12, 21, 11], [6, 14, 7, 13], [24, 16, 1, 15], [22, 18, 23, 17], [10, 20, 11, 19], [18, 22, 19, 21], [16, 24, 17, 23]]
PD [[1, 5, 2, 4], [3, 9, 4, 8], [12, 6, 13, 5], [7, 3, 8, 2], [9, 14, 10, 15], [11, 20, 12, 21], [6, 14, 7, 13], [15, 24, 16, 1], [17, 22, 18, 23], [19, 10, 20, 11], [21, 18, 22, 19], [23, 16, 24, 17]]
PD [[1, 5, 2, 4], [3, 9, 4, 8], [5, 12, 6, 13], [7, 3, 8, 2], [14, 10, 15, 9], [20, 12, 21, 11], [13, 6, 14, 7], [24, 16, 1, 15], [22, 18, 23, 17], [10, 20, 11, 19], [18, 22, 19, 21], [16, 24, 17, 23]]
PD [[1, 5, 2, 4], [3, 9, 4, 8], [12, 5, 13, 6], [7, 3, 8, 2], [16, 9, 17, 10], [6, 11, 7, 12], [18, 13, 19, 14], [22, 15, 23, 16], [10, 17, 11, 18], [24, 19, 1, 20], [14, 21, 15, 22], [20, 23, 21, 24]]
PD [[1, 5, 2, 4], [3, 9, 4, 8], [12, 5, 13, 6], [7, 3, 8, 2], [9, 17, 10, 16], [6, 11, 7, 12], [13, 19, 14, 18], [15, 23, 16, 22], [17, 11, 18, 10], [19, 1, 20, 24], [21, 15, 22, 14], [23, 21, 24, 20]]
PD [[1, 5, 2, 4], [3, 9, 4, 8], [5, 13, 6, 12], [7, 3, 8, 2], [16, 9, 17, 10], [11, 7, 12, 6], [18, 13, 19, 14], [22, 15, 23, 16], [10, 17, 11, 18], [24, 19, 1, 20], [14, 21, 15, 22], [20, 23, 21, 24]]
